paper_id,author_position,author_id,author_name,role_name,year,title,type,core_rank
344038,0,6857,Joseph Maguire,Senior Lecturer,2025,Themes in the Declared Use of Generative Artificial Intelligence in Assessment,conference_proceedings,
344038,2,51762,Qi Cao,Associate Professor,2025,Themes in the Declared Use of Generative Artificial Intelligence in Assessment,conference_proceedings,
344038,3,49593,Chee Kiat Seow,Associate Professor,2025,Themes in the Declared Use of Generative Artificial Intelligence in Assessment,conference_proceedings,
348328,2,30896,Christos Anagnostopoulos,Reader,2025,Node selection using adversarial expert-based multi-armed bandits in distributed computing,article,
348161,0,28436,Jessica Enright,Reader,2025,Counting temporal paths,article,
348161,1,33044,Kitty Meeks,Reader,2025,Counting temporal paths,article,
347512,0,11069,Oana Andrei,Lecturer,2025,Course Portfolio on Algorithmics,report,B
347615,0,11069,Oana Andrei,Lecturer,2025,Integrating Socially Responsible Computing Competencies in Computer Science and Software Engineering Education,conference_item,A
347615,1,31800,Syed Waqar Nabi,Lecturer,2025,Integrating Socially Responsible Computing Competencies in Computer Science and Software Engineering Education,conference_item,A
347615,2,9704,Matthew Barr,Senior Lecturer,2025,Integrating Socially Responsible Computing Competencies in Computer Science and Software Engineering Education,conference_item,A
346859,2,64858,Tanaya Guha,Senior Lecturer,2025,Explainable human-centered traits from head motion and facial expression dynamics,article,
346453,1,65596,Dongzhu Liu,Lecturer in Cybersecurity,2025,Personalizing Low-rank Bayesian Neural Networks Via Federated Learning,conference_item,
346453,4,5079,Dimitrios Pezaros,Professor of Computer Networks and RAEng Research Chair,2025,Personalizing Low-rank Bayesian Neural Networks Via Federated Learning,conference_item,
346455,2,65596,Dongzhu Liu,Lecturer in Cybersecurity,2025,Channel Capacity-Aware Distributed Encoding for Multi-View Sensing and Edge Inference,conference_proceedings,A*
346542,2,66347,Lauritz Thamsen,Lecturer in Computer Systems,2025,Experimentally Evaluating the Resource Efficiency of Big Data Autoscaling,conference_proceedings,B
346086,1,31800,Syed Waqar Nabi,Lecturer,2025,Dynamic Loop Fusion in High-Level Synthesis,conference_proceedings,A*
346086,2,12645,Wim Vanderbauwhede,Professor in Computing Science,2025,Dynamic Loop Fusion in High-Level Synthesis,conference_proceedings,A*
344672,1,28436,Jessica Enright,Reader,2025,The Firefighter Game with state-varying cost functions,book_section,A
345131,1,49593,Chee Kiat Seow,Associate Professor,2025,Automated Bitcoin trading dApp using price prediction from a deep learning model,article,
345131,4,51762,Qi Cao,Associate Professor,2025,Automated Bitcoin trading dApp using price prediction from a deep learning model,article,
345001,3,15034,Jeremy Singer,Reader in Programming Language Implementation,2025,Secure Scripting with CHERIoT MicroPython,conference_proceedings,
345000,2,30896,Christos Anagnostopoulos,Reader,2025,"Advanced persistent threats based on supply chain vulnerabilities: challenges, solutions & future directions",article,
345000,3,15034,Jeremy Singer,Reader in Programming Language Implementation,2025,"Advanced persistent threats based on supply chain vulnerabilities: challenges, solutions & future directions",article,
342761,2,48568,Mathieu Chollet,Lecturer in Healthcare Technologies,2025,"EARN Fairness: Explaining, Asking, Reviewing, and Negotiating Artificial Intelligence Fairness Metrics Among Stakeholders",conference_proceedings,
342761,4,65091,Simone Stumpf,Professor of Responsible and Interactive Artificial Intelligence,2025,"EARN Fairness: Explaining, Asking, Reviewing, and Negotiating Artificial Intelligence Fairness Metrics Among Stakeholders",conference_proceedings,
343256,1,64858,Tanaya Guha,Senior Lecturer,2025,Self-supervised random mask attention GAN in tackling pose-invariant face recognition,article,
341719,1,29034,Blair Archibald,Lecturer,2025,CAN-Verify: automated analysis for BDI agents,article,
341719,2,25011,Michele Sevegnani,Senior Lecturer,2025,CAN-Verify: automated analysis for BDI agents,article,
348974,1,5956,Gethin Norman,Senior Lecturer,2024,Expectation vs. Reality: Towards verification of psychological games,book_section,A
346074,4,25011,Michele Sevegnani,Senior Lecturer,2024,Delineating in-vivo T1-weighted intensity profiles within the human insula cortex using 7-tesla MRI,article,
341966,0,31800,Syed Waqar Nabi,Lecturer,2024,The role of reflection in effective work-based learning and assessment,book_section,
341966,1,65535,Derek Somerville,Lecturer,2024,The role of reflection in effective work-based learning and assessment,book_section,
335083,0,11069,Oana Andrei,Lecturer,2024,LLM-aided Pair Programming for Algorithm Tracing,conference_proceedings,
346358,1,65596,Dongzhu Liu,Lecturer in Cybersecurity,2024,Efficient wireless federated learning via low-rank gradient factorization,article,
345252,1,11535,Roderick Murray-Smith,Professor,2024,Generative Model for Visualisation of Complex Behaviours Exhibited by Homogeneous Swarms,conference_proceedings,
345252,2,54575,Fani Deligianni,Senior Lecturer,2024,Generative Model for Visualisation of Complex Behaviours Exhibited by Homogeneous Swarms,conference_proceedings,
343843,1,61424,Debasis Ganguly,Lecturer in Data Science,2024,Is Relevance Propagated from Retriever to Generator in RAG?,conference_proceedings,
343843,2,3545,Craig Macdonald,Professor of Information Retrieval,2024,Is Relevance Propagated from Retriever to Generator in RAG?,conference_proceedings,
345183,2,54284,Chaitanya Kaul,Lecturer in Artificial Intelligence / Machine Learning,2024,Is One GPU Enough? Pushing Image Generation at Higher-Resolutions with Foundation Models,conference_proceedings,
345183,3,11535,Roderick Murray-Smith,Professor,2024,Is One GPU Enough? Pushing Image Generation at Higher-Resolutions with Foundation Models,conference_proceedings,
345181,5,,Roderick Murray-Smith,Professor,2024,Generative Fractional Diffusion Models,conference_proceedings,A*
344670,1,48568,Mathieu Chollet,Lecturer in Healthcare Technologies,2024,Decoding Persuasiveness in Eloquence Competitions: An Investigation into the LLM’s Ability to Assess Public Speaking,conference_proceedings,A*
338052,3,11463,Stephen Brewster,Professor of Human-Computer Interactions,2024,Where's my TOR?: Evaluating the effect of Take-Over Request source on older drivers' control transition in Level 3 cars,article,A
339737,2,54575,Fani Deligianni,Senior Lecturer,2024,Predictive Modelling of Cognitive Workload in VR: An Eye-Tracking Approach,conference_proceedings,A*
344567,3,3453,Colin Perkins,Senior Lecturer,2024,A Dataset for Expert Reviewer Recommendation with Large Language Models as Zero-shot Rankers,conference_proceedings,A*
343649,2,72794,Yutian Tang,Lecturer in Software Engineering,2024,Poster: Whether We Are Good Enough to Detect Server-Side Request Forgeries in PHP-native Applications?,conference_item,
